id,sourceId,sourceName,rawText,segment,candidateCustodian,targetId,score,matchType,status,sourceRegisterTitle,sourceRegisterVersion,sourceRegisterGenerated,sourceRegisterCustodianCount,sourceCsvPath,sourceMarkdownPath,sourceCsvModifiedAt,sourceMarkdownModifiedAt,sourceCsvSha256,sourceMarkdownSha256,sourceCustodianRowCount,sourceMarkdownCardCount,sourceOverrideRuleCount,sourceGitCommit,sourceProvenanceStatus,kgLoadedAt
review:custodian:population-health-research-network:6:queensland-health-phrn-delivers-coordina,custodian:population-health-research-network,Population Health Research Network,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health, Disability and Ageing: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health, Disability and Ageing initiative.","Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health",Queensland Health,custodian:queensland-health,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:population-health-research-network:7:department-of-health-disability-and-agei,custodian:population-health-research-network,Population Health Research Network,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health, Disability and Ageing: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health, Disability and Ageing initiative.","Department of Health, Disability and Ageing: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health, Disability and Ageing initiative","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-research-data-commons:1:aihw-collaboration-on-the-national-healt,custodian:australian-research-data-commons,Australian Research Data Commons,"AIHW: Collaboration on the National Health Data Hub (NHDH) to improve access to high-quality health data and a Memorandum of Understanding for a long-term partnership.
ABS: Collaboration on making ABS datasets available for research.
Department of Health, Disability and Ageing: ARDC is supported by the Australian Government through the National Collaborative Research Infrastructure Strategy (NCRIS), which includes initiatives relevant to health data.
NHMRC/HRECs: ARDC's Trusted Research Environments Framework provides principles and standards for governance, infrastructure, and practices to ensure ethical handling of sensitive data, which aligns with HREC requirements.",AIHW: Collaboration on the National Health Data Hub (NHDH) to improve access to high-quality health data and a Memorandum of Understanding for a long-term partnership,Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-research-data-commons:2:abs-collaboration-on-making-abs-datasets,custodian:australian-research-data-commons,Australian Research Data Commons,"AIHW: Collaboration on the National Health Data Hub (NHDH) to improve access to high-quality health data and a Memorandum of Understanding for a long-term partnership.
ABS: Collaboration on making ABS datasets available for research.
Department of Health, Disability and Ageing: ARDC is supported by the Australian Government through the National Collaborative Research Infrastructure Strategy (NCRIS), which includes initiatives relevant to health data.
NHMRC/HRECs: ARDC's Trusted Research Environments Framework provides principles and standards for governance, infrastructure, and practices to ensure ethical handling of sensitive data, which aligns with HREC requirements.",ABS: Collaboration on making ABS datasets available for research,Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-research-data-commons:3:department-of-health-disability-and-agei,custodian:australian-research-data-commons,Australian Research Data Commons,"AIHW: Collaboration on the National Health Data Hub (NHDH) to improve access to high-quality health data and a Memorandum of Understanding for a long-term partnership.
ABS: Collaboration on making ABS datasets available for research.
Department of Health, Disability and Ageing: ARDC is supported by the Australian Government through the National Collaborative Research Infrastructure Strategy (NCRIS), which includes initiatives relevant to health data.
NHMRC/HRECs: ARDC's Trusted Research Environments Framework provides principles and standards for governance, infrastructure, and practices to ensure ethical handling of sensitive data, which aligns with HREC requirements.","Department of Health, Disability and Ageing: ARDC is supported by the Australian Government through the National Collaborative Research Infrastructure Strategy (NCRIS), which includes initiatives relevant to health data","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-research-data-commons:4:nhmrc-hrecs-ardc-s-trusted-research-envi,custodian:australian-research-data-commons,Australian Research Data Commons,"AIHW: Collaboration on the National Health Data Hub (NHDH) to improve access to high-quality health data and a Memorandum of Understanding for a long-term partnership.
ABS: Collaboration on making ABS datasets available for research.
Department of Health, Disability and Ageing: ARDC is supported by the Australian Government through the National Collaborative Research Infrastructure Strategy (NCRIS), which includes initiatives relevant to health data.
NHMRC/HRECs: ARDC's Trusted Research Environments Framework provides principles and standards for governance, infrastructure, and practices to ensure ethical handling of sensitive data, which aligns with HREC requirements.","NHMRC/HRECs: ARDC's Trusted Research Environments Framework provides principles and standards for governance, infrastructure, and practices to ensure ethical handling of sensitive data, which aligns with HREC requirements",National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs:1:abs-nhmrc-utilizes-abs-standards-for-res,custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs,National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),"ABS: NHMRC utilizes ABS standards for research classifications and data definitions, such as the ABS 2020 Standard for sex and gender in health and medical research.
AIHW: NHMRC collaborates with AIHW and ABS on data integration initiatives, including the creation of pilot datasets.
Department of Health, Disability and Ageing: As a Commonwealth entity, NHMRC works closely with the Department of Health, Disability and Ageing on national health policy, research funding, and ethical guidelines.","ABS: NHMRC utilizes ABS standards for research classifications and data definitions, such as the ABS 2020 Standard for sex and gender in health and medical research",Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs:2:1:aihw-nhmrc-collaborates-with-a:override,custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs,National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),"ABS: NHMRC utilizes ABS standards for research classifications and data definitions, such as the ABS 2020 Standard for sex and gender in health and medical research.
AIHW: NHMRC collaborates with AIHW and ABS on data integration initiatives, including the creation of pilot datasets.
Department of Health, Disability and Ageing: As a Commonwealth entity, NHMRC works closely with the Department of Health, Disability and Ageing on national health policy, research funding, and ethical guidelines.","AIHW: NHMRC collaborates with AIHW and ABS on data integration initiatives, including the creation of pilot datasets",Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs:3:department-of-health-disability-and-agei,custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs,National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),"ABS: NHMRC utilizes ABS standards for research classifications and data definitions, such as the ABS 2020 Standard for sex and gender in health and medical research.
AIHW: NHMRC collaborates with AIHW and ABS on data integration initiatives, including the creation of pilot datasets.
Department of Health, Disability and Ageing: As a Commonwealth entity, NHMRC works closely with the Department of Health, Disability and Ageing on national health policy, research funding, and ethical guidelines.","Department of Health, Disability and Ageing: As a Commonwealth entity, NHMRC works closely with the Department of Health, Disability and Ageing on national health policy, research funding, and ethical guidelines","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:national-aboriginal-community-controlled-health-organisation:1:aihw-collaboration-on-the-review-of-onli,custodian:national-aboriginal-community-controlled-health-organisation,National Aboriginal Community Controlled Health Organisation,"AIHW: collaboration on the review of Online Services Report (OSR) and National Key Performance Indicators (nKPIs);Department of Health, Disability and Ageing: commissioned AIHW to review OSR and nKPIs, and NACCHO advocates for policy reforms with government departments;ACCHOs: NACCHO is the national peak body representing 148 ACCHOs, supporting their data collection and use;ICSPR: repository for Profile and Forces of Change data for researchers.",AIHW: collaboration on the review of Online Services Report (OSR) and National Key Performance Indicators (nKPIs),Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:national-aboriginal-community-controlled-health-organisation:2:department-of-health-disability-and-agei,custodian:national-aboriginal-community-controlled-health-organisation,National Aboriginal Community Controlled Health Organisation,"AIHW: collaboration on the review of Online Services Report (OSR) and National Key Performance Indicators (nKPIs);Department of Health, Disability and Ageing: commissioned AIHW to review OSR and nKPIs, and NACCHO advocates for policy reforms with government departments;ACCHOs: NACCHO is the national peak body representing 148 ACCHOs, supporting their data collection and use;ICSPR: repository for Profile and Forces of Change data for researchers.","Department of Health, Disability and Ageing: commissioned AIHW to review OSR and nKPIs, and NACCHO advocates for policy reforms with government departments","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:national-aboriginal-community-controlled-health-organisation:3:acchos-naccho-is-the-national-peak-body-:override-reject,custodian:national-aboriginal-community-controlled-health-organisation,National Aboriginal Community Controlled Health Organisation,"AIHW: collaboration on the review of Online Services Report (OSR) and National Key Performance Indicators (nKPIs);Department of Health, Disability and Ageing: commissioned AIHW to review OSR and nKPIs, and NACCHO advocates for policy reforms with government departments;ACCHOs: NACCHO is the national peak body representing 148 ACCHOs, supporting their data collection and use;ICSPR: repository for Profile and Forces of Change data for researchers.","ACCHOs: NACCHO is the national peak body representing 148 ACCHOs, supporting their data collection and use",,,0.0,override_force_reject,rejected,,,,,,,,,,,,,,,,
review:custodian:national-aboriginal-community-controlled-health-organisation:4:icspr-repository-for-profile-and-forces-:override-reject,custodian:national-aboriginal-community-controlled-health-organisation,National Aboriginal Community Controlled Health Organisation,"AIHW: collaboration on the review of Online Services Report (OSR) and National Key Performance Indicators (nKPIs);Department of Health, Disability and Ageing: commissioned AIHW to review OSR and nKPIs, and NACCHO advocates for policy reforms with government departments;ACCHOs: NACCHO is the national peak body representing 148 ACCHOs, supporting their data collection and use;ICSPR: repository for Profile and Forces of Change data for researchers.",ICSPR: repository for Profile and Forces of Change data for researchers,,,0.0,override_force_reject,rejected,,,,,,,,,,,,,,,,
review:custodian:phn-cooperative-primary-health-insights:1:australian-institute-of-health-and-welfa,custodian:phn-cooperative-primary-health-insights,PHN Cooperative / Primary Health Insights,"Australian Institute of Health and Welfare (AIHW): AIHW is a Primary Health Insights participant and is required to maintain the same data governance requirements as PHNs for the data held in its secure lock box.
Department of Health, Disability and Ageing: The development and implementation of Primary Health Insights was funded by the Australian Government Department of Health.
Primary Health Networks (PHNs): Primary Health Insights is a collaborative initiative of the PHNs, and the platform is owned by them.",Australian Institute of Health and Welfare (AIHW): AIHW is a Primary Health Insights participant and is required to maintain the same data governance requirements as PHNs for the data held in its secure lock box,Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:phn-cooperative-primary-health-insights:2:department-of-health-disability-and-agei,custodian:phn-cooperative-primary-health-insights,PHN Cooperative / Primary Health Insights,"Australian Institute of Health and Welfare (AIHW): AIHW is a Primary Health Insights participant and is required to maintain the same data governance requirements as PHNs for the data held in its secure lock box.
Department of Health, Disability and Ageing: The development and implementation of Primary Health Insights was funded by the Australian Government Department of Health.
Primary Health Networks (PHNs): Primary Health Insights is a collaborative initiative of the PHNs, and the platform is owned by them.","Department of Health, Disability and Ageing: The development and implementation of Primary Health Insights was funded by the Australian Government Department of Health","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:phn-cooperative-primary-health-insights:3:primary-health-networks-phns-primary-hea:override-reject,custodian:phn-cooperative-primary-health-insights,PHN Cooperative / Primary Health Insights,"Australian Institute of Health and Welfare (AIHW): AIHW is a Primary Health Insights participant and is required to maintain the same data governance requirements as PHNs for the data held in its secure lock box.
Department of Health, Disability and Ageing: The development and implementation of Primary Health Insights was funded by the Australian Government Department of Health.
Primary Health Networks (PHNs): Primary Health Insights is a collaborative initiative of the PHNs, and the platform is owned by them.","Primary Health Networks (PHNs): Primary Health Insights is a collaborative initiative of the PHNs, and the platform is owned by them",,,0.0,override_force_reject,rejected,,,,,,,,,,,,,,,,
review:custodian:australian-bureau-of-statistics:1:1:australian-institute-of-health:override,custodian:australian-bureau-of-statistics,Australian Bureau of Statistics,"Australian Institute of Health and Welfare (AIHW): The ABS and AIHW collaborate on a range of health and welfare statistics, including data linkage projects.
Department of Health, Disability and Ageing: The ABS provides key health data that informs the Department's policy and program development.
Services Australia: The ABS links its data with data from Services Australia to create integrated datasets for research and statistical purposes.","Australian Institute of Health and Welfare (AIHW): The ABS and AIHW collaborate on a range of health and welfare statistics, including data linkage projects",Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-bureau-of-statistics:2:department-of-health-disability-and-agei,custodian:australian-bureau-of-statistics,Australian Bureau of Statistics,"Australian Institute of Health and Welfare (AIHW): The ABS and AIHW collaborate on a range of health and welfare statistics, including data linkage projects.
Department of Health, Disability and Ageing: The ABS provides key health data that informs the Department's policy and program development.
Services Australia: The ABS links its data with data from Services Australia to create integrated datasets for research and statistical purposes.","Department of Health, Disability and Ageing: The ABS provides key health data that informs the Department's policy and program development","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-bureau-of-statistics:3:1:services-australia-the-abs-lin:override,custodian:australian-bureau-of-statistics,Australian Bureau of Statistics,"Australian Institute of Health and Welfare (AIHW): The ABS and AIHW collaborate on a range of health and welfare statistics, including data linkage projects.
Department of Health, Disability and Ageing: The ABS provides key health data that informs the Department's policy and program development.
Services Australia: The ABS links its data with data from Services Australia to create integrated datasets for research and statistical purposes.",Services Australia: The ABS links its data with data from Services Australia to create integrated datasets for research and statistical purposes,Services Australia,custodian:services-australia,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:1:abs-collaboration-on-national-disability,custodian:australian-institute-of-health-and-welfare-data-integration-services-centre,Australian Institute of Health and Welfare Data Integration Services Centre,"ABS: Collaboration on National Disability Data Asset (NDDA), data integration, and NHDH access via an AIHW-managed ABS SEAD instance.
Services Australia: Data from Medicare Consumer Directory and Centrelink Data Over Multiple Individual Occurrences (DOMINO) are linked by AIHW DISC.
Department of Health, Disability and Ageing: Partner in the National Health Data Hub (NHDH).
NSW Health: Partner in the National Health Data Hub (NHDH).
Queensland Health: Partner in the National Health Data Hub (NHDH).
Population Health Research Network (PHRN): Partner in the National Health Data Hub (NHDH).","ABS: Collaboration on National Disability Data Asset (NDDA), data integration, and NHDH access via an AIHW-managed ABS SEAD instance",Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:2:services-australia-data-from-medicare-co,custodian:australian-institute-of-health-and-welfare-data-integration-services-centre,Australian Institute of Health and Welfare Data Integration Services Centre,"ABS: Collaboration on National Disability Data Asset (NDDA), data integration, and NHDH access via an AIHW-managed ABS SEAD instance.
Services Australia: Data from Medicare Consumer Directory and Centrelink Data Over Multiple Individual Occurrences (DOMINO) are linked by AIHW DISC.
Department of Health, Disability and Ageing: Partner in the National Health Data Hub (NHDH).
NSW Health: Partner in the National Health Data Hub (NHDH).
Queensland Health: Partner in the National Health Data Hub (NHDH).
Population Health Research Network (PHRN): Partner in the National Health Data Hub (NHDH).",Services Australia: Data from Medicare Consumer Directory and Centrelink Data Over Multiple Individual Occurrences (DOMINO) are linked by AIHW DISC,Services Australia,custodian:services-australia,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:3:department-of-health-disability-and-agei,custodian:australian-institute-of-health-and-welfare-data-integration-services-centre,Australian Institute of Health and Welfare Data Integration Services Centre,"ABS: Collaboration on National Disability Data Asset (NDDA), data integration, and NHDH access via an AIHW-managed ABS SEAD instance.
Services Australia: Data from Medicare Consumer Directory and Centrelink Data Over Multiple Individual Occurrences (DOMINO) are linked by AIHW DISC.
Department of Health, Disability and Ageing: Partner in the National Health Data Hub (NHDH).
NSW Health: Partner in the National Health Data Hub (NHDH).
Queensland Health: Partner in the National Health Data Hub (NHDH).
Population Health Research Network (PHRN): Partner in the National Health Data Hub (NHDH).","Department of Health, Disability and Ageing: Partner in the National Health Data Hub (NHDH)","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:4:1:nsw-health-partner-in-the-nati:override,custodian:australian-institute-of-health-and-welfare-data-integration-services-centre,Australian Institute of Health and Welfare Data Integration Services Centre,"ABS: Collaboration on National Disability Data Asset (NDDA), data integration, and NHDH access via an AIHW-managed ABS SEAD instance.
Services Australia: Data from Medicare Consumer Directory and Centrelink Data Over Multiple Individual Occurrences (DOMINO) are linked by AIHW DISC.
Department of Health, Disability and Ageing: Partner in the National Health Data Hub (NHDH).
NSW Health: Partner in the National Health Data Hub (NHDH).
Queensland Health: Partner in the National Health Data Hub (NHDH).
Population Health Research Network (PHRN): Partner in the National Health Data Hub (NHDH).",NSW Health: Partner in the National Health Data Hub (NHDH),NSW Health / Ministry of Health NSW,custodian:nsw-health-ministry-of-health-nsw,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:5:queensland-health-partner-in-the-nationa,custodian:australian-institute-of-health-and-welfare-data-integration-services-centre,Australian Institute of Health and Welfare Data Integration Services Centre,"ABS: Collaboration on National Disability Data Asset (NDDA), data integration, and NHDH access via an AIHW-managed ABS SEAD instance.
Services Australia: Data from Medicare Consumer Directory and Centrelink Data Over Multiple Individual Occurrences (DOMINO) are linked by AIHW DISC.
Department of Health, Disability and Ageing: Partner in the National Health Data Hub (NHDH).
NSW Health: Partner in the National Health Data Hub (NHDH).
Queensland Health: Partner in the National Health Data Hub (NHDH).
Population Health Research Network (PHRN): Partner in the National Health Data Hub (NHDH).",Queensland Health: Partner in the National Health Data Hub (NHDH),Queensland Health,custodian:queensland-health,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:6:population-health-research-network-phrn-,custodian:australian-institute-of-health-and-welfare-data-integration-services-centre,Australian Institute of Health and Welfare Data Integration Services Centre,"ABS: Collaboration on National Disability Data Asset (NDDA), data integration, and NHDH access via an AIHW-managed ABS SEAD instance.
Services Australia: Data from Medicare Consumer Directory and Centrelink Data Over Multiple Individual Occurrences (DOMINO) are linked by AIHW DISC.
Department of Health, Disability and Ageing: Partner in the National Health Data Hub (NHDH).
NSW Health: Partner in the National Health Data Hub (NHDH).
Queensland Health: Partner in the National Health Data Hub (NHDH).
Population Health Research Network (PHRN): Partner in the National Health Data Hub (NHDH).",Population Health Research Network (PHRN): Partner in the National Health Data Hub (NHDH),Population Health Research Network,custodian:population-health-research-network,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-prudential-regulation-authority:1:reserve-bank-of-australia-rba-memorandum:override-reject,custodian:australian-prudential-regulation-authority,Australian Prudential Regulation Authority,"Reserve Bank of Australia (RBA): Memorandum of Understanding for consultation, information sharing, and coordination on financial stability issues. 
Private Health Insurers: APRA collects data from private health insurers as part of its regulatory function. 
Australian Bureau of Statistics (ABS): APRA conducts consultation with the superannuation industry on additional superannuation data collected under reporting standards and primarily used by ABS.","Reserve Bank of Australia (RBA): Memorandum of Understanding for consultation, information sharing, and coordination on financial stability issues",,,0.0,override_force_reject,rejected,,,,,,,,,,,,,,,,
review:custodian:australian-prudential-regulation-authority:2:private-health-insurers-apra-collects-da:override-reject,custodian:australian-prudential-regulation-authority,Australian Prudential Regulation Authority,"Reserve Bank of Australia (RBA): Memorandum of Understanding for consultation, information sharing, and coordination on financial stability issues. 
Private Health Insurers: APRA collects data from private health insurers as part of its regulatory function. 
Australian Bureau of Statistics (ABS): APRA conducts consultation with the superannuation industry on additional superannuation data collected under reporting standards and primarily used by ABS.",Private Health Insurers: APRA collects data from private health insurers as part of its regulatory function,,,0.0,override_force_reject,rejected,,,,,,,,,,,,,,,,
review:custodian:australian-prudential-regulation-authority:3:australian-bureau-of-statistics-abs-apra,custodian:australian-prudential-regulation-authority,Australian Prudential Regulation Authority,"Reserve Bank of Australia (RBA): Memorandum of Understanding for consultation, information sharing, and coordination on financial stability issues. 
Private Health Insurers: APRA collects data from private health insurers as part of its regulatory function. 
Australian Bureau of Statistics (ABS): APRA conducts consultation with the superannuation industry on additional superannuation data collected under reporting standards and primarily used by ABS.",Australian Bureau of Statistics (ABS): APRA conducts consultation with the superannuation industry on additional superannuation data collected under reporting standards and primarily used by ABS,Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-bureau-of-statistics-datalab:1:department-of-health-disability-and-agei,custodian:australian-bureau-of-statistics-datalab,Australian Bureau of Statistics DataLab,"Department of Health, Disability and Ageing: Partner agency in PLIDA [4]
Services Australia: Partner agency in PLIDA [4]
Australian Institute of Health and Welfare: Observer on PLIDA Board [4]","Department of Health, Disability and Ageing: Partner agency in PLIDA [4]","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-bureau-of-statistics-datalab:2:services-australia-partner-agency-in-pli,custodian:australian-bureau-of-statistics-datalab,Australian Bureau of Statistics DataLab,"Department of Health, Disability and Ageing: Partner agency in PLIDA [4]
Services Australia: Partner agency in PLIDA [4]
Australian Institute of Health and Welfare: Observer on PLIDA Board [4]",Services Australia: Partner agency in PLIDA [4],Services Australia,custodian:services-australia,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-bureau-of-statistics-datalab:3:australian-institute-of-health-and-welfa,custodian:australian-bureau-of-statistics-datalab,Australian Bureau of Statistics DataLab,"Department of Health, Disability and Ageing: Partner agency in PLIDA [4]
Services Australia: Partner agency in PLIDA [4]
Australian Institute of Health and Welfare: Observer on PLIDA Board [4]",Australian Institute of Health and Welfare: Observer on PLIDA Board [4],Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:cancer-institute-nsw:1:1:nsw-health-ministry-of-health-:override,custodian:cancer-institute-nsw,Cancer Institute NSW,NSW Health - Ministry of Health NSW (Cancer Institute NSW is a statutory body within the NSW Health portfolio),NSW Health - Ministry of Health NSW (Cancer Institute NSW is a statutory body within the NSW Health portfolio),NSW Health / Ministry of Health NSW,custodian:nsw-health-ministry-of-health-nsw,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:nsw-health-ministry-of-health-nsw:1:1:cherel-nsw-health-partners-wit:override,custodian:nsw-health-ministry-of-health-nsw,NSW Health / Ministry of Health NSW,"CHeReL: NSW Health partners with CHeReL for secure record linkage of health data for research and policy development [3].
Cancer Institute NSW: NSW Health works with the Cancer Institute NSW, which provides cancer data and statistics [2].
Bureau of Health Information: NSW Health collaborates with the Bureau of Health Information, which publishes independent reports and data about the performance of the public healthcare system in NSW [2].",CHeReL: NSW Health partners with CHeReL for secure record linkage of health data for research and policy development [3],Centre for Health Record Linkage,custodian:centre-for-health-record-linkage,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:nsw-health-ministry-of-health-nsw:2:cancer-institute-nsw-nsw-health-works-wi,custodian:nsw-health-ministry-of-health-nsw,NSW Health / Ministry of Health NSW,"CHeReL: NSW Health partners with CHeReL for secure record linkage of health data for research and policy development [3].
Cancer Institute NSW: NSW Health works with the Cancer Institute NSW, which provides cancer data and statistics [2].
Bureau of Health Information: NSW Health collaborates with the Bureau of Health Information, which publishes independent reports and data about the performance of the public healthcare system in NSW [2].","Cancer Institute NSW: NSW Health works with the Cancer Institute NSW, which provides cancer data and statistics [2]",Cancer Institute NSW,custodian:cancer-institute-nsw,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:nsw-health-ministry-of-health-nsw:3:bureau-of-health-information-nsw-health-:override-reject,custodian:nsw-health-ministry-of-health-nsw,NSW Health / Ministry of Health NSW,"CHeReL: NSW Health partners with CHeReL for secure record linkage of health data for research and policy development [3].
Cancer Institute NSW: NSW Health works with the Cancer Institute NSW, which provides cancer data and statistics [2].
Bureau of Health Information: NSW Health collaborates with the Bureau of Health Information, which publishes independent reports and data about the performance of the public healthcare system in NSW [2].","Bureau of Health Information: NSW Health collaborates with the Bureau of Health Information, which publishes independent reports and data about the performance of the public healthcare system in NSW [2]",,,0.0,override_force_reject,rejected,,,,,,,,,,,,,,,,
review:custodian:centre-for-victorian-data-linkage:1:1:phrn-cvdl-was-established-with:override,custodian:centre-for-victorian-data-linkage,Centre for Victorian Data Linkage,"PHRN: CVDL was established with funding from the national Population Health Research Network (PHRN) and is part of the PHRN network.
AIHW: Some datasets are assembled for submission to the Australian Institute for Health and Welfare (AIHW) for national reporting.
Registry of Births Deaths and Marriages: CVDL obtains Births and Deaths (VDI) data from the Registry of Births Deaths and Marriages under a Memorandum of Understanding.",PHRN: CVDL was established with funding from the national Population Health Research Network (PHRN) and is part of the PHRN network,Population Health Research Network,custodian:population-health-research-network,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:centre-for-victorian-data-linkage:2:aihw-some-datasets-are-assembled-for-sub,custodian:centre-for-victorian-data-linkage,Centre for Victorian Data Linkage,"PHRN: CVDL was established with funding from the national Population Health Research Network (PHRN) and is part of the PHRN network.
AIHW: Some datasets are assembled for submission to the Australian Institute for Health and Welfare (AIHW) for national reporting.
Registry of Births Deaths and Marriages: CVDL obtains Births and Deaths (VDI) data from the Registry of Births Deaths and Marriages under a Memorandum of Understanding.",AIHW: Some datasets are assembled for submission to the Australian Institute for Health and Welfare (AIHW) for national reporting,Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
