relationship_element_id,start_node_element_id,end_node_element_id,lane,order
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965995,4:699adb08-f1e5-4be8-b17b-792b62a6747d:673,4:699adb08-f1e5-4be8-b17b-792b62a6747d:811,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965996,4:699adb08-f1e5-4be8-b17b-792b62a6747d:673,4:699adb08-f1e5-4be8-b17b-792b62a6747d:812,Custodian,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965997,4:699adb08-f1e5-4be8-b17b-792b62a6747d:673,4:699adb08-f1e5-4be8-b17b-792b62a6747d:813,EthicsRegulatory,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965998,4:699adb08-f1e5-4be8-b17b-792b62a6747d:673,4:699adb08-f1e5-4be8-b17b-792b62a6747d:814,Custodian,4
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965999,4:699adb08-f1e5-4be8-b17b-792b62a6747d:673,4:699adb08-f1e5-4be8-b17b-792b62a6747d:815,EthicsRegulatory,5
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966000,4:699adb08-f1e5-4be8-b17b-792b62a6747d:674,4:699adb08-f1e5-4be8-b17b-792b62a6747d:816,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966001,4:699adb08-f1e5-4be8-b17b-792b62a6747d:674,4:699adb08-f1e5-4be8-b17b-792b62a6747d:817,Researcher,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966002,4:699adb08-f1e5-4be8-b17b-792b62a6747d:674,4:699adb08-f1e5-4be8-b17b-792b62a6747d:818,Researcher,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966003,4:699adb08-f1e5-4be8-b17b-792b62a6747d:674,4:699adb08-f1e5-4be8-b17b-792b62a6747d:819,Custodian,4
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966004,4:699adb08-f1e5-4be8-b17b-792b62a6747d:674,4:699adb08-f1e5-4be8-b17b-792b62a6747d:820,Researcher,5
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966005,4:699adb08-f1e5-4be8-b17b-792b62a6747d:674,4:699adb08-f1e5-4be8-b17b-792b62a6747d:821,Researcher,6
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966006,4:699adb08-f1e5-4be8-b17b-792b62a6747d:674,4:699adb08-f1e5-4be8-b17b-792b62a6747d:822,Researcher,7
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966007,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:823,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966008,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:824,Researcher,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966009,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:825,Custodian,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966010,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:826,EthicsRegulatory,4
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966011,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:827,Researcher,5
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966012,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:828,Researcher,6
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966013,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:829,EthicsRegulatory,7
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966014,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:830,Custodian,8
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966015,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:831,Custodian,9
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966016,4:699adb08-f1e5-4be8-b17b-792b62a6747d:675,4:699adb08-f1e5-4be8-b17b-792b62a6747d:832,Researcher,10
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966017,4:699adb08-f1e5-4be8-b17b-792b62a6747d:676,4:699adb08-f1e5-4be8-b17b-792b62a6747d:833,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966018,4:699adb08-f1e5-4be8-b17b-792b62a6747d:676,4:699adb08-f1e5-4be8-b17b-792b62a6747d:834,Researcher,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966019,4:699adb08-f1e5-4be8-b17b-792b62a6747d:676,4:699adb08-f1e5-4be8-b17b-792b62a6747d:835,Researcher,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175966020,4:699adb08-f1e5-4be8-b17b-792b62a6747d:676,4:699adb08-f1e5-4be8-b17b-792b62a6747d:836,Custodian,4
