node_element_id,actor,channel,id,lane,stepNumber,text,timeline
4:699adb08-f1e5-4be8-b17b-792b62a6747d:709,Services Australia,Not specified (implied secure transfer),step:custodian:services-australia:5,Custodian,5,Data Release,4-6 months
4:699adb08-f1e5-4be8-b17b-792b62a6747d:795,Researcher & TDLU,"Email contact with TDLU, optional Project Proposal Form",step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit:1,Researcher,1,Design,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:796,Researcher & TDLU,"PHRN Online Application System (OAS) at https://www.phrn.org.au/data/how-to-apply/application/, NHMRC registered HREC application (e.g., University of Tasmania's HREC using Integrity IQ or National Mutual Acceptance Data Linkage HREC), Department of Health Research Governance Application via Research Ethics and Governance Information System (REGIS) if applicable",step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit:2,Researcher,2,Application,3-6 months
4:699adb08-f1e5-4be8-b17b-792b62a6747d:797,"HREC, Data Custodians, Tasmanian Department of Health (DoH) Research Office (if applicable), TDLU","Upload HREC approval to online application system, Data Access Agreement",step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit:3,EthicsRegulatory,3,Approvals,4-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:798,TDLU & Data Custodians,Kiteworks (secure file exchange service),step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit:4,Custodian,4,Data Linkage,3-6 months
4:699adb08-f1e5-4be8-b17b-792b62a6747d:799,Data Custodians,Kiteworks or SURE (remote-access data research laboratory),step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit:5,Custodian,5,Data Provision,2-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:710,Researcher,TGA General Enquiries (info@tga.gov.au or 1800 020 653),step:custodian:therapeutic-goods-administration:1,Researcher,1,Initial Inquiry,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:711,Researcher,Freedom of Information (FOI) request (tga.foi@health.gov.au),step:custodian:therapeutic-goods-administration:2,Researcher,2,Formal Data Request (if applicable),30 calendar days (may be extended)
4:699adb08-f1e5-4be8-b17b-792b62a6747d:712,TGA,No dedicated TRE - data provided via secure file transfer or public database access,step:custodian:therapeutic-goods-administration:3,Custodian,3,Data Access (if approved),Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:769,Data Requestor,CVDL online application form (https://www2.health.vic.gov.au/cvdl/applicationform),step:custodian:victorian-agency-for-health-information:1,Custodian,1,Complete and submit CVDL's data linkage application,3-6 months
4:699adb08-f1e5-4be8-b17b-792b62a6747d:778,Data Requestor,DH Microsoft Azure data analysis environment (VALT),step:custodian:victorian-agency-for-health-information:10,Custodian,10,Access linked data via project-specific virtual machine,3-6 months
4:699adb08-f1e5-4be8-b17b-792b62a6747d:770,CVDL Client Services and Technical Teams,Internal process,step:custodian:victorian-agency-for-health-information:2,Custodian,2,Technical feasibility assessment by CVDL,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:771,Data Requestor,CVDL's SharePoint site,step:custodian:victorian-agency-for-health-information:3,Custodian,3,Upload supporting documents to secure SharePoint folder,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:772,Data Requestor (obtains HREC approval),Accredited Victorian HREC or HREC accredited under National Mutual Acceptance scheme,step:custodian:victorian-agency-for-health-information:4,EthicsRegulatory,4,Ethical Approval,4-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:773,CVDL Client Services (for DH/DFFH datasets) or Data Requestor (for other datasets),Internal process,step:custodian:victorian-agency-for-health-information:5,EthicsRegulatory,5,Data Custodian approval,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:774,CVDL (for external projects) or Data Requestor (for internal Victorian Government projects),Internal process,step:custodian:victorian-agency-for-health-information:6,Custodian,6,Privacy Impact Assessment (if required),1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:775,External Data Requestors,Deed of Acknowledgment and Confidentiality (returned to cvdl@health.vic.gov.au),step:custodian:victorian-agency-for-health-information:7,Custodian,7,Complete Deed of Acknowledgment and Confidentiality,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:776,"Deputy Secretary, eHealth, Department of Health",Internal process,step:custodian:victorian-agency-for-health-information:8,EthicsRegulatory,8,Approval to collect non-DH data (if required),2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:777,CVDL Linkage and Integration/Content teams,Internal process,step:custodian:victorian-agency-for-health-information:9,Custodian,9,Data Linkage and Integration,3-6 months
4:699adb08-f1e5-4be8-b17b-792b62a6747d:779,Researcher,Human Research Ethics Committee recognized by NHMRC,step:custodian:victorian-cancer-registry:1,Researcher,1,Obtain HREC Approval,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:780,Researcher,Data Access Form (https://www.cancervic.org.au/research/our-research/victoria-cancer-registry/data-requests/data-access-form),step:custodian:victorian-cancer-registry:2,Researcher,2,Submit Data Access Request,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:781,VCR Director,Internal VCR process,step:custodian:victorian-cancer-registry:3,EthicsRegulatory,3,VCR Director Approval,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:790,Researcher,ISPD Client Services team (Research data related enquiries),step:custodian:wa-health-data-linkage-services-wa:1,Researcher,1,Initial Inquiry,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:791,Researcher,Data forms page (https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data/data-forms),step:custodian:wa-health-data-linkage-services-wa:2,Researcher,2,Application Submission,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:792,WA Health DLS,Not publicly available,step:custodian:wa-health-data-linkage-services-wa:3,Custodian,3,Prioritisation and Costing,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:793,"WA Health DLS, HREC",Not publicly available,step:custodian:wa-health-data-linkage-services-wa:4,EthicsRegulatory,4,Approvals,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:794,Researcher,Project Application Tracker (https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data),step:custodian:wa-health-data-linkage-services-wa:5,Researcher,5,Data Access,Not publicly available
